gene,Uniprot entry,Protein.names,Aliases,localization,cells,cells.1,cells.2,cells.3,cells.4,cells.5,cells.6,cells.7,cells.8,cells.9,cells.10,cells.11,cells.12,cells.13,cells.14,cells.15,cells.16
CXCR4,P61073,C-X-C chemokine receptor type 4 (CXC-R4) (CXCR-4) (FB22) (Fusin) (HM89) (LCR1) (Leukocyte-derived seven transmembrane domain receptor) (LESTR) (Lipopolysaccharide-associated protein 3) (LAP-3) (LPS-associated protein 3) (NPYRL) (Stromal cell-derived factor 1 receptor) (SDF-1 receptor) (CD antigen CD184),CXCR4,extracellular,plasma B,Th2,ILC2,follicular Th,,,,,,,,,,,,,
CXCR5,P32302,C-X-C chemokine receptor type 5 (CXC-R5) (CXCR-5) (Burkitt lymphoma receptor 1) (Monocyte-derived receptor 15) (MDR-15) (CD antigen CD185),CXCR5 BLR1 MDR15,extracellular,follicular B,follicular Th,LTI,Tfh,,,,,,,,,,,,,
CXCR6,O00574,C-X-C chemokine receptor type 6 (CXC-R6) (CXCR-6) (CDw186) (G-protein coupled receptor STRL33) (G-protein coupled receptor bonzo) (CD antigen CD186),CXCR6 BONZO STRL33 TYMSTR,extracellular,Th1,ILC2,LTI,,,,,,,,,,,,,,
EBF1,Q9UH73,Transcription factor COE1 (O/E-1) (OE-1) (Early B-cell factor),EBF1 COE1 EBF,intracellular,Marginal Zone B,follicular B,,,,,,,,,,,,,,,
EOMES,O95936,Eomesodermin homolog (T-box brain protein 2) (T-brain-2) (TBR-2),EOMES TBR2,intracellular,central memory CD8 T,NK,effector memory CD8 T,,,,,,,,,,,,,,
EPX,P11678,Eosinophil peroxidase (EPO) (EC 1.11.1.7) [Cleaved into: Eosinophil peroxidase light chain; Eosinophil peroxidase heavy chain],EPX EPER EPO EPP,secreted,eosinophil,,,,,,,,,,,,,,,,
FCRL3,Q96P31,Fc receptor-like protein 3 (FcR-like protein 3) (FcRL3) (Fc receptor homolog 3) (FcRH3) (IFGP family protein 3) (hIFGP3) (Immune receptor translocation-associated protein 3) (SH2 domain-containing phosphatase anchor protein 2) (CD antigen CD307c),FCRL3 FCRH3 IFGP3 IRTA3 SPAP2,extracellular,Marginal Zone B,,,,,,,,,,,,,,,,
FOXO1,Q12778,Forkhead box protein O1 (Forkhead box protein O1A) (Forkhead in rhabdomyosarcoma),FOXO1 FKHR FOXO1A,intracellular,follicular B,,,,,,,,,,,,,,,,
GAP43,P17677,Neuromodulin (Axonal membrane protein GAP-43) (Growth-associated protein 43) (Neural phosphoprotein B-50) (pp46),GAP43,,astrocyte,,,,,,,,,,,,,,,,
GATA2,P23769,Endothelial transcription factor GATA-2 (GATA-binding protein 2),GATA2,intracellular,basophil,,,,,,,,,,,,,,,,
GATA3,P23771,Trans-acting T-cell-specific transcription factor GATA-3 (GATA-binding factor 3),GATA3,intracellular,Th2,ILC2,NK,HSC,CLP,,,,,,,,,,,,
GFAP,P14136,Glial fibrillary acidic protein (GFAP),GFAP,,astrocyte,,,,,,,,,,,,,,,,
GFI1,Q99684,Zinc finger protein Gfi-1 (Growth factor independent protein 1) (Zinc finger protein 163),GFI1 ZNF163,intracellular,ILC2,,,,,,,,,,,,,,,,
GPNMB,Q14956,Transmembrane glycoprotein NMB (Hematopoietic growth factor inducible neurokinin-1 type),GPNMB HGFIN NMB UNQ1725/PRO9925,extracellular,macrophage pan,,,,,,,,,,,,,,,,
HES1,Q14469,Transcription factor HES-1 (Class B basic helix-loop-helix protein 39) (bHLHb39) (Hairy and enhancer of split 1) (Hairy homolog) (Hairy-like protein) (hHL),HES1 BHLHB39 HL HRY,,astrocyte,,,,,,,,,,,,,,,,
ICOS,Q9Y6W8,Inducible T-cell costimulator (Activation-inducible lymphocyte immunomediatory molecule) (CD antigen CD278),ICOS AILIM,extracellular,effector CD8 T,ILC2,Tfh,ILC1,follicular Th,,,,,,,,,,,,
ID2,Q02363,DNA-binding protein inhibitor ID-2 (Class B basic helix-loop-helix protein 26) (bHLHb26) (Inhibitor of DNA binding 2) (Inhibitor of differentiation 2),ID2 BHLHB26,intracellular,NK,ILC1,ILC2,ILC3,LTI,NKT,,,,,,,,,,,
ID3,Q02535,DNA-binding protein inhibitor ID-3 (Class B basic helix-loop-helix protein 25) (bHLHb25) (Helix-loop-helix protein HEIR-1) (ID-like protein inhibitor HLH 1R21) (Inhibitor of DNA binding 3) (Inhibitor of differentiation 3),ID3 1R21 BHLHB25 HEIR1,intracellular,ILCreg,,,,,,,,,,,,,,,,
IFNG,P01579,Interferon gamma (IFN-gamma) (Immune interferon),IFNG,secreted,Th1,effector CD8 T,M1,NK,ILC1,effector memory CD8 T,yd T ,M1,m1 microglia,NKT,central memory CD8 T,,,,,,
IFNGR2,P38484,Interferon gamma receptor 2 (IFN-gamma receptor 2) (IFN-gamma-R2) (Interferon gamma receptor accessory factor 1) (AF-1) (Interferon gamma receptor beta-chain) (IFN-gamma-R-beta) (Interferon gamma transducer 1),IFNGR2 IFNGT1,extracellular,Th1,,,,,,,,,,,,,,,,
IL10,P22301,Interleukin-10 (IL-10) (Cytokine synthesis inhibitory factor) (CSIF),IL10,secreted,m2c microglia,M2b,PMN MDSC,m2b microglia,Treg,M2c,M2a,M2d,NK,NKT,,,,,,,
IL12RB2,Q99665,Interleukin-12 receptor subunit beta-2 (IL-12 receptor subunit beta-2) (IL-12R subunit beta-2) (IL-12R-beta-2) (IL-12RB2),IL12RB2,extracellular,Th1,ILC1,NCR+ ILC3,,,,,,,,,,,,,,
IL13,P35225,Interleukin-13 (IL-13),IL13 NC30,secreted,Th2,basophil,ILC2,NKT,,,,,,,,,,,,,
IL15,P40933,Interleukin-15 (IL-15),IL15,secreted,M1,m1 microglia,classical DC,,,,,,,,,,,,,,
IL17A,Q16552,Interleukin-17A (IL-17) (IL-17A) (Cytotoxic T-lymphocyte-associated antigen 8) (CTLA-8),IL17A CTLA8 IL17,secreted,Th17,ILC3,yd T ,,,,,,,,,,,,,,
IL17F,Q96PD4,Interleukin-17F (IL-17F) (Cytokine ML-1),IL17F,secreted,Th17,ILC3,,,,,,,,,,,,,,,
IL17RB,Q9NRM6,Interleukin-17 receptor B (IL-17 receptor B) (IL-17RB) (Cytokine receptor-like 4) (IL-17 receptor homolog 1) (IL-17Rh1) (IL17Rh1) (Interleukin-17B receptor) (IL-17B receptor),IL17RB CRL4 EVI27 IL17BR UNQ2501/PRO19612,extracellular,Th2,Th9,ILC2,,,,,,,,,,,,,,
IL18,Q14116,Interleukin-18 (IL-18) (Iboctadekin) (Interferon gamma-inducing factor) (IFN-gamma-inducing factor) (Interleukin-1 gamma) (IL-1 gamma),IL18 IGIF IL1F4,secreted,M1,m1 microglia,,,,,,,,,,,,,,,
IL1B,P01584,Interleukin-1 beta (IL-1 beta) (Catabolin),IL1B IL1F2,secreted,M1,m1 microglia,M2b,m2b microglia,neutrophil,,,,,,,,,,,,
IL2,P60568,Interleukin-2 (IL-2) (T-cell growth factor) (TCGF) (Aldesleukin),IL2,secreted,m1 microglia,Th1,effector CD8 T,,,,,,,,,,,,,,
IL21,Q9HBE4,Interleukin-21 (IL-21) (Za11),IL21,secreted,Tfh,Th17,,,,,,,,,,,,,,,
IL21R,Q9HBE5,Interleukin-21 receptor (IL-21 receptor) (IL-21R) (Novel interleukin receptor) (CD antigen CD360),IL21R NILR UNQ3121/PRO10273,extracellular,follicular Th,Th17,,,,,,,,,,,,,,,
IL22,Q9GZX6,Interleukin-22 (IL-22) (Cytokine Zcyto18) (IL-10-related T-cell-derived-inducible factor) (IL-TIF),IL22 ILTIF ZCYTO18 UNQ3099/PRO10096,secreted,Th17,LTI,ILC3,,,,,,,,,,,,,,
IL23R,Q5VWK5,Interleukin-23 receptor (IL-23 receptor) (IL-23R),IL23R,extracellular,Th17,NCR+ ILC3,NCR-ILC3,LTI,ILC3,,,,,,,,,,,,
IL27RA,Q6UWB1,Interleukin-27 receptor subunit alpha (IL-27 receptor subunit alpha) (IL-27R subunit alpha) (IL-27R-alpha) (IL-27RA) (Cytokine receptor WSX-1) (Cytokine receptor-like 1) (Type I T-cell cytokine receptor) (TCCR) (ZcytoR1),IL27RA CRL1 TCCR WSX1 UNQ296/PRO336,extracellular,Th1,,,,,,,,,,,,,,,,
IL2RG,P31785,Cytokine receptor common subunit gamma (Interleukin-2 receptor subunit gamma) (IL-2 receptor subunit gamma) (IL-2R subunit gamma) (IL-2RG) (gammaC) (p64) (CD antigen CD132),IL2RG,extracellular,LTI,,,,,,,,,,,,,,,,
IL4,P05112,Interleukin-4 (IL-4) (B-cell stimulatory factor 1) (BSF-1) (Binetrakin) (Lymphocyte stimulatory factor 1) (Pitrakinra),IL4,secreted,Th2,mast cell,basophil,ILC2,NKT,yd T ,,,,,,,,,,,
IL5,P05113,Interleukin-5 (IL-5) (B-cell differentiation factor I) (Eosinophil differentiation factor) (T-cell replacing factor) (TRF),IL5,secreted,Th2,ILC2,yd T ,,,,,,,,,,,,,,
IL6,P05231,Interleukin-6 (IL-6) (B-cell stimulatory factor 2) (BSF-2) (CTL differentiation factor) (CDF) (Hybridoma growth factor) (Interferon beta-2) (IFN-beta-2),IL6 IFNB2,secreted,pDC,M1,m1 microglia,M2b,m2b microglia,classical DC,neutrophil,,,,,,,,,,
IL9,P15248,Interleukin-9 (IL-9) (Cytokine P40) (T-cell growth factor P40),IL9,secreted,ILC2,,,,,,,,,,,,,,,,
IRF4,Q15306,Interferon regulatory factor 4 (IRF-4) (Lymphocyte-specific interferon regulatory factor) (LSIRF) (Multiple myeloma oncogene 1) (NF-EM5),IRF4 MUM1,intracellular,M2c,M2b,M2a,Th2,plasma B,Th9,Th17,Tfh,,,,,,,,,
IRF5,Q13568,Interferon regulatory factor 5 (IRF-5),IRF5,intracellular,M1,,,,,,,,,,,,,,,,
IRF7,Q92985,Interferon regulatory factor 7 (IRF-7),IRF7,intracellular,pDC,,,,,,,,,,,,,,,,
IRF8,Q02556,Interferon regulatory factor 8 (IRF-8) (Interferon consensus sequence-binding protein) (H-ICSBP) (ICSBP),IRF8 ICSBP1,intracellular,pDC,classical DC,germinal center B,pDC,,,,,,,,,,,,,
KLRG1,Q96E93,Killer cell lectin-like receptor subfamily G member 1 (C-type lectin domain family 15 member A) (ITIM-containing receptor MAFA-L) (MAFA-like receptor) (Mast cell function-associated antigen),KLRG1 CLEC15A MAFA MAFAL,extracellular,ILC2,effector CD8 T,effector memory CD8 T,NK,,,,,,,,,,,,,
LAG3,P18627,Lymphocyte activation gene 3 protein (LAG-3) (CD antigen CD223) [Cleaved into: Secreted lymphocyte activation gene 3 protein (sLAG-3)],LAG3 FDC,extracellular,Treg,,,,,,,,,,,,,,,,
LRRC32,Q14392,Transforming growth factor beta activator LRRC32 (Garpin) (Glycoprotein A repetitions predominant) (GARP) (Leucine-rich repeat-containing protein 32),LRRC32 D11S833E,extracellular,Treg,,,,,,,,,,,,,,,,
MFGE8,Q08431,Lactadherin (Breast epithelial antigen BA46) (HMFG) (MFGM) (Milk fat globule-EGF factor 8) (MFG-E8) (SED1) [Cleaved into: Lactadherin short form; Medin],MFGE8,secreted,m1 microglia,,,,,,,,,,,,,,,,
MITF,O75030,Microphthalmia-associated transcription factor (Class E basic helix-loop-helix protein 32) (bHLHe32),MITF BHLHE32,intracellular,mast cell,,,,,,,,,,,,,,,,
MMP3,P08254,Stromelysin-1 (SL-1) (EC 3.4.24.17) (Matrix metalloproteinase-3) (MMP-3) (Transin-1),MMP3 STMY1,secreted,m1 microglia,,,,,,,,,,,,,,,,
MMP9,P14780,Matrix metalloproteinase-9 (MMP-9) (EC 3.4.24.35) (92 kDa gelatinase) (92 kDa type IV collagenase) (Gelatinase B) (GELB) [Cleaved into: 67 kDa matrix metalloproteinase-9; 82 kDa matrix metalloproteinase-9],MMP9 CLG4B,secreted,PMN MDSC,m1 microglia,,,,,,,,,,,,,,,
NDRG2,Q9UN36,Protein NDRG2 (N-myc downstream-regulated gene 2 protein) (Protein Syld709613),NDRG2 KIAA1248 SYLD,,astrocyte,,,,,,,,,,,,,,,,
NGF,P01138,Beta-nerve growth factor (Beta-NGF),NGF NGFB,secreted,mast cell,,,,,,,,,,,,,,,,
NOTCH1,P46531,Neurogenic locus notch homolog protein 1 (Notch 1) (hN1) (Translocation-associated notch protein TAN-1) [Cleaved into: Notch 1 extracellular truncation (NEXT); Notch 1 intracellular domain (NICD)],NOTCH1 TAN1,,astrocyte,,,,,,,,,,,,,,,,
NOTCH2,Q04721,Neurogenic locus notch homolog protein 2 (Notch 2) (hN2) [Cleaved into: Notch 2 extracellular truncation (N2ECD); Notch 2 intracellular domain (N2ICD)],NOTCH2,intracellular,Marginal Zone B,,,,,,,,,,,,,,,,
PAX5,Q02548,Paired box protein Pax-5 (B-cell-specific transcription factor) (BSAP),PAX5,intracellular,follicular B,memory B,regulatory B,Marginal Zone B,germinal center B,,,,,,,,,,,,
PEA15,Q15121,Astrocytic phosphoprotein PEA-15 (15 kDa phosphoprotein enriched in astrocytes) (Phosphoprotein enriched in diabetes) (PED),PEA15,,astrocyte,,,,,,,,,,,,,,,,
PPARG,P37231,Peroxisome proliferator-activated receptor gamma (PPAR-gamma) (Nuclear receptor subfamily 1 group C member 3),PPARG NR1C3,intracellular,M2a,m2a microglia,,,,,,,,,,,,,,,
RORA,P35398,Nuclear receptor ROR-alpha (Nuclear receptor RZR-alpha) (Nuclear receptor subfamily 1 group F member 1) (RAR-related orphan receptor A) (Retinoid-related orphan receptor-alpha),RORA NR1F1 RZRA,intracellular,Th17,ILC2,,,,,,,,,,,,,,,
RUNX1,Q01196,Runt-related transcription factor 1 (Acute myeloid leukemia 1 protein) (Core-binding factor subunit alpha-2) (CBF-alpha-2) (Oncogene AML-1) (Polyomavirus enhancer-binding protein 2 alpha B subunit) (PEA2-alpha B) (PEBP2-alpha B) (SL3-3 enhancer factor 1 alpha B subunit) (SL3/AKV core-binding factor alpha B subunit),RUNX1 AML1 CBFA2,intracellular,NK,LTI,,,,,,,,,,,,,,,
S100A8,P05109,Protein S100-A8 (Calgranulin-A) (Calprotectin L1L subunit) (Cystic fibrosis antigen) (CFAG) (Leukocyte L1 complex light chain) (Migration inhibitory factor-related protein 8) (MRP-8) (p8) (S100 calcium-binding protein A8) (Urinary stone protein band A),S100A8 CAGA CFAG MRP8,extracellular,neutrophil,,,,,,,,,,,,,,,,
S100B,P04271,Protein S100-B (S-100 protein beta chain) (S-100 protein subunit beta) (S100 calcium-binding protein B),S100B,,astrocyte,,,,,,,,,,,,,,,,
SIGLEC8,Q9NYZ4,Sialic acid-binding Ig-like lectin 8 (Siglec-8) (Sialoadhesin family member 2) (SAF-2),SIGLEC8 SAF2,extracellular,eosinophil,,,,,,,,,,,,,,,,
SOCS3,O14543,Suppressor of cytokine signaling 3 (SOCS-3) (Cytokine-inducible SH2 protein 3) (CIS-3) (STAT-induced STAT inhibitor 3) (SSI-3),SOCS3 CIS3 SSI3,intracellular,M2b,M2c,m2b microglia,m2c microglia,,,,,,,,,,,,,
SOX4,Q06945,Transcription factor SOX-4,SOX4,intracellular,ILCreg,,,,,,,,,,,,,,,,
SOX9,P48436,Transcription factor SOX-9,SOX9,,astrocyte,,,,,,,,,,,,,,,,
SPIB,Q01892,Transcription factor Spi-B,SPIB,intracellular,memory B,,,,,,,,,,,,,,,,
STAT1,P42224,Signal transducer and activator of transcription 1-alpha/beta (Transcription factor ISGF-3 components p91/p84),STAT1,intracellular,Th1,M1,,,,,,,,,,,,,,,
STAT3,P40763,Signal transducer and activator of transcription 3 (Acute-phase response factor),STAT3 APRF,intracellular,follicular Th,Th17,Th22,Tfh,,,,,,,,,,,,,
STAT4,Q14765,Signal transducer and activator of transcription 4,STAT4,intracellular,Th1,,,,,,,,,,,,,,,,
STAT6,P42226,Signal transducer and activator of transcription 6 (IL-4 Stat),STAT6,intracellular,Th2,M2a,M2,,,,,,,,,,,,,,
TCF4,P15884,Transcription factor 4 (TCF-4) (Class B basic helix-loop-helix protein 19) (bHLHb19) (Immunoglobulin transcription factor 2) (ITF-2) (SL3-3 enhancer factor 2) (SEF-2),TCF4 BHLHB19 ITF2 SEF2,intracellular,pDC,,,,,,,,,,,,,,,,
TGM2,P21980,Protein-glutamine gamma-glutamyltransferase 2 (EC 2.3.2.13) (Tissue transglutaminase) (Transglutaminase C) (TG(C)) (TGC) (TGase C) (Transglutaminase H) (TGase H) (Transglutaminase-2) (TGase-2),TGM2,intracellular,m2a microglia,,,,,,,,,,,,,,,,
TIGIT,Q495A1,T-cell immunoreceptor with Ig and ITIM domains (V-set and immunoglobulin domain-containing protein 9) (V-set and transmembrane domain-containing protein 3),TIGIT VSIG9 VSTM3,extracellular,Treg,NK,,,,,,,,,,,,,,,
TLR1,Q15399,Toll-like receptor 1 (EC 3.2.2.6) (Toll/interleukin-1 receptor-like protein) (TIL) (CD antigen CD281),TLR1 KIAA0012,intracellular,neutrophil,basophil,M2c,memory B,,,,,,,,,,,,,
TLR10,Q9BXR5,Toll-like receptor 10 (EC 3.2.2.6) (CD antigen CD290),TLR10 UNQ315/PRO358,extracellular,memory B,,,,,,,,,,,,,,,,
TLR2,O60603,Toll-like receptor 2 (EC 3.2.2.6) (Toll/interleukin-1 receptor-like protein 4) (CD antigen CD282),TLR2 TIL4,extracellular,classical DC,neutrophil,basophil,macrophage pan,macrophage,memory B,,,,,,,,,,,
TLR3,O15455,Toll-like receptor 3 (CD antigen CD283),TLR3,extracellular,pDC,,,,,,,,,,,,,,,,
TLR4,O00206,Toll-like receptor 4 (EC 3.2.2.6) (hToll) (CD antigen CD284),TLR4,extracellular,classical DC,neutrophil,basophil,macrophage pan,,,,,,,,,,,,,
TLR6,Q9Y2C9,Toll-like receptor 6 (EC 3.2.2.6) (CD antigen CD286),TLR6,extracellular,neutrophil,basophil,memory B,,,,,,,,,,,,,,
TLR7,Q9NYK1,Toll-like receptor 7,TLR7 UNQ248/PRO285,intracellular,pDC,memory B,,,,,,,,,,,,,,,
TLR8,Q9NR97,Toll-like receptor 8 (CD antigen CD288),TLR8 UNQ249/PRO286,intracellular,M2c,,,,,,,,,,,,,,,,
TLR9,Q9NR96,Toll-like receptor 9 (CD antigen CD289),TLR9 UNQ5798/PRO19605,intracellular,pDC,neutrophil,basophil,classical DC,,,,,,,,,,,,,
TOX,O94900,Thymocyte selection-associated high mobility group box protein TOX (Thymus high mobility group box protein TOX),TOX KIAA0808,intracellular,NK,LTI,,,,,,,,,,,,,,,
TREM2,Q9NZC2,Triggering receptor expressed on myeloid cells 2 (TREM-2) (Triggering receptor expressed on monocytes 2),TREM2,extracellular,m2a microglia,,,,,,,,,,,,,,,,
VSIG4,Q9Y279,V-set and immunoglobulin domain-containing protein 4 (Protein Z39Ig),VSIG4 CRIg Z39IG UNQ317/PRO362,extracellular,M2,,,,,,,,,,,,,,,,
XBP1,P17861,"X-box-binding protein 1 (XBP-1) (Tax-responsive element-binding protein 5) (TREB-5) [Cleaved into: X-box-binding protein 1, cytoplasmic form; X-box-binding protein 1, luminal form]",XBP1 TREB5 XBP2,intracellular,plasma B,,,,,,,,,,,,,,,,
XCR1,P46094,Chemokine XC receptor 1 (G-protein coupled receptor 5) (Lymphotactin receptor) (XC chemokine receptor 1),XCR1 CCXCR1 GPR5,extracellular,dermal DC,classical DC,,,,,,,,,,,,,,,
ABCG2,Q9UNQ0,Broad substrate specificity ATP-binding cassette transporter ABCG2 (EC 7.6.2.2) (ATP-binding cassette sub-family G member 2) (Breast cancer resistance protein) (CDw338) (Mitoxantrone resistance-associated protein) (Placenta-specific ATP-binding cassette transporter) (Urate exporter) (CD antigen CD338),ABCG2 ABCP BCRP BCRP1 MXR CD338,extracellular,HSC,,,,,,,,,,,,,,,,
ACE,P12821,"Angiotensin-converting enzyme (ACE) (EC 3.2.1.-) (EC 3.4.15.1) (Dipeptidyl carboxypeptidase I) (Kininase II) (CD antigen CD143) [Cleaved into: Angiotensin-converting enzyme, soluble form]",ACE DCP DCP1 CD143,extracellular,neuron,,,,,,,,,,,,,,,,
ADGRE1,Q14246,Adhesion G protein-coupled receptor E1 (EGF-like module receptor 1) (EGF-like module-containing mucin-like hormone receptor-like 1) (EMR1 hormone receptor),ADGRE1 EMR1 TM7LN3 EMR1,extracellular,eosinophil,macrophage,,,,,,,,,,,,,,,
AICDA,Q9GZX7,Single-stranded DNA cytosine deaminase (EC 3.5.4.38) (Activation-induced cytidine deaminase) (AID) (Cytidine aminohydrolase),AICDA AID AID,intracellular,germinal center B,,,,,,,,,,,,,,,,
ALCAM,Q13740,CD166 antigen (Activated leukocyte cell adhesion molecule) (CD antigen CD166),ALCAM MEMD CD166,extracellular,neuron,,,,,,,,,,,,,,,,
ALDOC,P09972,Fructose-bisphosphate aldolase C (EC 4.1.2.13) (Brain-type aldolase),ALDOC ALDC ALDOLASE C,,astrocyte,,,,,,,,,,,,,,,,
ANPEP,P15144,Aminopeptidase N (AP-N) (hAPN) (EC 3.4.11.2) (Alanyl aminopeptidase) (Aminopeptidase M) (AP-M) (Microsomal aminopeptidase) (Myeloid plasma membrane glycoprotein CD13) (gp150) (CD antigen CD13),ANPEP APN CD13 PEPN CD13,extracellular,basophil,,,,,,,,,,,,,,,,
AQP4,P55087,Aquaporin-4 (AQP-4) (Mercurial-insensitive water channel) (MIWC) (WCH4),AQP4 AQUAPORIN4,,astrocyte,,,,,,,,,,,,,,,,
AREG,P15514,Amphiregulin (AR) (Colorectum cell-derived growth factor) (CRDGF),AREG AREGB SDGF AMPHIREGULIN,secreted,ILC2,Th2,,,,,,,,,,,,,,,
ATXN1,P54253,Ataxin-1 (Spinocerebellar ataxia type 1 protein),ATXN1 ATX1 SCA1 SCA1,extracellular,ILC2,NCR+ ILC3,NCR-ILC3,ILCreg,,,,,,,,,,,,,
B3GAT1,Q9P2W7,"Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 1 (EC 2.4.1.135) (Beta-1,3-glucuronyltransferase 1) (Glucuronosyltransferase P) (GlcAT-P) (UDP-GlcUA:glycoprotein beta-1,3-glucuronyltransferase) (GlcUAT-P)",B3GAT1 GLCATP ,extracellular,follicular Th,yd T ,,,,,,,,,,,,,,,
BCL6,P41182,B-cell lymphoma 6 protein (BCL-6) (B-cell lymphoma 5 protein) (BCL-5) (Protein LAZ-3) (Zinc finger and BTB domain-containing protein 27) (Zinc finger protein 51),BCL6 BCL5 LAZ3 ZBTB27 ZNF51 BCL6,intracellular,germinal center B,follicular B,Tfh,follicular Th,,,,,,,,,,,,,
BHLHE22,Q8NFJ8,Class E basic helix-loop-helix protein 22 (bHLHe22) (Class B basic helix-loop-helix protein 5) (bHLHb5) (Trinucleotide repeat-containing gene 20 protein),BHLHE22 BHLHB5 TNRC20 E22 ,intracellular,pDC,,,,,,,,,,,,,,,,
BSG,P35613,Basigin (5F7) (Collagenase stimulatory factor) (Extracellular matrix metalloproteinase inducer) (EMMPRIN) (Hepatoma-associated antigen) (HAb18G) (Leukocyte activation antigen M6) (OK blood group antigen) (Tumor cell-derived collagenase stimulatory factor) (TCSF) (CD antigen CD147),BSG UNQ6505/PRO21383 CD147 ,extracellular,platelet,,,,,,,,,,,,,,,,
BST1,Q10588,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2 (EC 3.2.2.6) (ADP-ribosyl cyclase 2) (Bone marrow stromal antigen 1) (BST-1) (Cyclic ADP-ribose hydrolase 2) (cADPr hydrolase 2) (CD antigen CD157),BST1 CD157 ,extracellular,neutrophil,,,,,,,,,,,,,,,,
BTLA,Q7Z6A9,B- and T-lymphocyte attenuator (B- and T-lymphocyte-associated protein) (CD antigen CD272),BTLA CD272 ,extracellular,effector CD8 T,,,,,,,,,,,,,,,,
C5AR1,P21730,C5a anaphylatoxin chemotactic receptor 1 (C5a anaphylatoxin chemotactic receptor) (C5a-R) (C5aR) (CD antigen CD88),C5AR1 C5AR C5R1 CD88 ,extracellular,basophil,,,,,,,,,,,,,,,,
CADM1,Q9BY67,Cell adhesion molecule 1 (Immunoglobulin superfamily member 4) (IgSF4) (Nectin-like protein 2) (NECL-2) (Spermatogenic immunoglobulin superfamily) (SgIgSF) (Synaptic cell adhesion molecule) (SynCAM) (Tumor suppressor in lung cancer 1) (TSLC-1),CADM1 IGSF4 IGSF4A NECL2 SYNCAM TSLC1 IGSF4A,extracellular,classical DC,dermal DC,,,,,,,,,,,,,,,
CCR2,P41597,C-C chemokine receptor type 2 (C-C CKR-2) (CC-CKR-2) (CCR-2) (CCR2) (Monocyte chemoattractant protein 1 receptor) (MCP-1-R) (CD antigen CD192),CCR2 CMKBR2 CD192,extracellular,basophil,tissue associated Mac,,,,,,,,,,,,,,,
CCR3,P51677,C-C chemokine receptor type 3 (C C CKR3) (C-C CKR-3) (CC-CKR-3) (CCR-3) (CCR3) (CKR 3) (CKR3) (Eosinophil eotaxin receptor) (CD antigen CD193),CCR3 CMKBR3 CD193,extracellular,eosinophil,,,,,,,,,,,,,,,,
CD22,P20273,B-cell receptor CD22 (B-lymphocyte cell adhesion molecule) (BL-CAM) (Sialic acid-binding Ig-like lectin 2) (Siglec-2) (T-cell surface antigen Leu-14) (CD antigen CD22),CD22 SIGLEC2 CD22A,extracellular,macrophage,,,,,,,,,,,,,,,,
CD3D,P04234,T-cell surface glycoprotein CD3 delta chain (T-cell receptor T3 delta chain) (CD antigen CD3d),CD3D T3D CD3,extracellular,Treg,Th1,Th2,Th9,Th17,Th22,follicular Th,,,,,,,,,,
CD40LG,P29965,"CD40 ligand (CD40-L) (T-cell antigen Gp39) (TNF-related activation protein) (TRAP) (Tumor necrosis factor ligand superfamily member 5) (CD antigen CD154) [Cleaved into: CD40 ligand, membrane form; CD40 ligand, soluble form (sCD40L)]",CD40LG CD40L TNFSF5 TRAP CD154,extracellular,basophil,,,,,,,,,,,,,,,,
CD69,Q07108,Early activation antigen CD69 (Activation inducer molecule) (AIM) (BL-AC/P26) (C-type lectin domain family 2 member C) (EA1) (Early T-cell activation antigen p60) (GP32/28) (Leukocyte surface antigen Leu-23) (MLR-3) (CD antigen CD69),CD69 CLEC2C CD69,extracellular,follicular B,effector CD8 T,NK,,,,,,,,,,,,,,
CD70,P32970,CD70 antigen (CD27 ligand) (CD27-L) (Tumor necrosis factor ligand superfamily member 7) (CD antigen CD70),CD70 CD27L CD27LG TNFSF7 CD70,extracellular,B,yd T ,,,,,,,,,,,,,,,
CD79A,P11912,B-cell antigen receptor complex-associated protein alpha chain (Ig-alpha) (MB-1 membrane glycoprotein) (Membrane-bound immunoglobulin-associated protein) (Surface IgM-associated protein) (CD antigen CD79a),CD79A IGA MB1 CD79,extracellular,B,,,,,,,,,,,,,,,,
CD80,P33681,T-lymphocyte activation antigen CD80 (Activation B7-1 antigen) (BB1) (CTLA-4 counter-receptor B7.1) (B7) (CD antigen CD80),CD80 CD28LG CD28LG1 LAB7 CD80H,extracellular,follicular B,macrophage pan,,,,,,,,,,,,,,,
CD86,P42081,T-lymphocyte activation antigen CD86 (Activation B7-2 antigen) (B70) (BU63) (CTLA-4 counter-receptor B7.2) (FUN-1) (CD antigen CD86),CD86 CD28LG2 CD86,extracellular,follicular B,macrophage pan,,,,,,,,,,,,,,,
CD8A,P01732,T-cell surface glycoprotein CD8 alpha chain (T-lymphocyte differentiation antigen T8/Leu-2) (CD antigen CD8a),CD8A MAL CD8,extracellular,NKT,CD8 T,,,,,,,,,,,,,,,
CDH5,P33151,Cadherin-5 (7B4 antigen) (Vascular endothelial cadherin) (VE-cadherin) (CD antigen CD144),CDH5 CD144,extracellular,endothelial cells,,,,,,,,,,,,,,,,
